Id	DR	L	WP	W	SL	SW	P
HMAC609_09	3.22	8.13	2.89	9.23	NaN	NaN	1
HMAC609_10	2.65	10.44	5.49	8.75	NaN	NaN	1
HMAC610_01	3.62	11.36	6.07	8.71	4.02	3.22	2
HMAC610_02	3.02	10.79	5.62	9.22	NaN	NaN	2
HMAC610_03	3.16	11.49	5.8	8.78	4.28	3.33	1
HMAC610_04	2.63	11.65	6.61	8.42	NaN	NaN	1
HMAC610_05	3.41	12.06	6.47	7.87	3.37	3.84	1
HMAC610_06	2.83	10.13	5.37	8.17	3.64	3.2	1
HMAC610_07	3.82	11.29	5.01	8.75	3.72	3.83	2
HMAC610_08	2.26	7.78	3.96	6.74	NaN	NaN	1
HMAC610_09	2.77	11.12	5.85	8.53	NaN	NaN	1
HMAC610_10	2.73	9.48	4.45	7.41	NaN	NaN	1
HMAC611_01	3.14	9.89	4.69	8.31	1.6	3.56	2
HMAC611_02	3.02	8.06	4.33	8.53	NaN	NaN	2
HMAC611_03	3.76	9.76	4.75	9.35	1.98	3.48	2
HMAC611_04	3.23	10.41	4.99	9.45	NaN	NaN	1
HMAC611_05	2.78	9.57	4.49	7.97	2.09	3.1	1
HMAC611_06	3.83	10.38	5.49	9.89	NaN	NaN	2
HMAC611_07	3.13	9.28	4.47	7.77	NaN	NaN	2
HMAC611_08	3.13	7.86	3.83	7.62	NaN	NaN	2
HMAC611_09	3.53	9.7	5.11	8.24	1.86	3.67	2
HMAC611_10	3.36	9.19	5.08	8.24	NaN	NaN	2
HMAC801_01	2.79	10.93	7.14	8.81	2.64	3.31	1
HMAC801_02	3.39	10.2	4.97	8.69	NaN	NaN	1
HMAC802_01	2.3	11.01	6	9.69	1.39	1.96	1
HMAC802_02	2.73	11.57	6.99	9.15	1.89	2.79	1
HMAC802_03	2.79	11.75	6.16	9.48	1.9	2.68	2
HMAC802_04	2.75	10.62	5.01	8.96	2.45	2.69	2
HMAC802_05	2.74	9.5	3.94	7.76	NaN	NaN	1
HMAC802_06	3.04	9.62	3.37	8.1	2.44	2.14	1
HMAC802_07	2.83	8.67	4.63	7.33	2.57	2.6	1
HMAC802_08	2.96	11.41	5.7	9.63	2.96	3.68	1
HMAC802_09	2.8	11.62	5.57	9.78	NaN	NaN	1
HMAC803_01	2.66	9.28	5.85	6.12	NaN	NaN	2
HMAC803_02	3.12	8.22	4.03	8.85	1.96	2.42	1
HMAC803_03	2.92	NaN	NaN	NaN	NaN	NaN	2
HMAC901_01	2.87	11.34	6.16	9.88	3.68	2.64	1
HMAC901_02	3.2	12.49	5.22	9.55	NaN	NaN	1
HMED101_01	2.28	8.92	3.73	7.12	2.1	2.53	1
